TITLE,ARTIST,GENRE,YEAR,BPM,ENERGY,dB,DURATION,SPEECH,POPULARITY,TITLE-PIE,ARTIST-PIE,GENRE-PIE,YEAR-PIE,BPM-PIE,ENERGY-PIE,dB-PIE,DURATION-PIE,SPEECH-PIE,POPULARITY-PIE
My First Kiss - feat. Ke$ha,3OH!3,dance pop,2010,138,89,-4,192,8,62,My First Kiss - feat. Ke$ha,Other,Other,Other,Other,Other,Other,Other,Other,Other
She Looks So Perfect,5 Seconds of Summer,boy band,2014,160,95,-4,202,13,71,She Looks So Perfect,Other,Other,Other,Other,Other,Other,Other,Other,Other
Say Something,A Great Big World,neo mellow,2014,138,15,-9,229,3,61,Say Something,Other,Other,Other,Other,Other,Other,Other,Other,Other
Whataya Want from Me,Adam Lambert,australian pop,2010,186,68,-5,227,5,66,Whataya Want from Me,Other,Other,Other,Other,Other,Other,Other,Other,Other
If I Had You,Adam Lambert,australian pop,2010,131,91,-4,228,11,59,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other
Someone Like You,Adele,british soul,2011,135,33,-8,285,3,80,Other,Other,Other,Other,Other,Other,-3,Other,Other,Other
Rolling in the Deep,Adele,british soul,2011,105,76,-5,228,3,76,Other,Other,Other,Other,Other,Other,-3,Other,Other,Other
Set Fire to the Rain,Adele,british soul,2012,108,68,-4,242,3,76,Other,Other,Other,Other,Other,Other,-3,Other,Other,Other
Hello,Adele,british soul,2015,158,45,-6,295,3,73,Other,Other,Other,Other,Other,Other,-3,Other,Other,Other
All I Ask,Adele,british soul,2016,142,28,-5,272,3,71,Other,Other,Other,Other,Other,Other,-3,Other,Other,Other
Send My Love (To Your New Lover),Adele,british soul,2016,164,52,-8,223,10,61,Other,Other,Other,Other,Other,Other,-3,Other,Other,Other
When We Were Young,Adele,british soul,2016,144,59,-6,291,5,58,Other,Other,Other,Other,Other,Other,-3,Other,Other,Other
Million Years Ago,Adele,british soul,2016,0,0,-60,227,0,0,Other,Other,Other,Other,Other,Other,-3,Other,Other,Other
All I Ask,Adele,british soul,2017,142,28,-5,272,3,71,Other,Other,Other,Other,Other,Other,-3,Other,Other,Other
Water Under the Bridge,Adele,british soul,2017,95,84,-7,240,7,49,Other,Other,Other,Other,Other,Other,-3,Other,Other,Other
Tired,Alan Walker,electro house,2017,124,88,-4,192,6,70,Other,Other,Other,Other,Other,Other,-3,Other,Other,Other
Here,Alessia Cara,canadian contemporary r&b,2015,120,82,-4,199,10,68,Other,Other,Other,Other,Other,Other,-3,Other,Other,Other
Scars To Your Beautiful,Alessia Cara,canadian contemporary r&b,2016,97,74,-6,230,13,79,Other,Other,Other,Other,Other,Other,-3,Other,Other,Other
Here,Alessia Cara,canadian contemporary r&b,2016,120,82,-4,199,10,68,Other,Other,Other,Other,Other,Other,-3,Other,Other,Other
"How Far I'll Go - From ""Moana""",Alessia Cara,canadian contemporary r&b,2017,181,54,-10,176,35,71,Other,Other,Other,Other,Other,Other,-3,Other,Other,Other
Heroes (we could be),Alesso,big room,2015,126,75,-4,210,6,56,Other,Other,Other,Other,Other,Other,-3,Other,Other,Other
Empire State of Mind (Part II) Broken Down,Alicia Keys,hip pop,2010,93,37,-8,216,3,76,Other,Other,Other,Other,Other,Other,-3,Other,Other,Other
Try Sleeping with a Broken Heart,Alicia Keys,hip pop,2010,111,82,-5,249,11,62,Other,Other,Other,Other,Other,Other,-3,Other,Other,Other
Doesn't Mean Anything,Alicia Keys,hip pop,2010,104,41,-7,273,3,57,Other,Other,Other,Other,Other,Other,-3,Other,Other,Other
Girl On Fire (feat. Nicki Minaj) - Inferno Version,Alicia Keys,hip pop,2013,93,81,-6,271,31,59,Other,Other,Other,Other,Other,Other,-3,Other,Other,Other
It's On Again - Main Soundtrack,Alicia Keys,hip pop,2014,110,54,-9,230,11,30,Other,Other,Other,Other,Other,Other,-3,Other,Other,Other
We Are Here,Alicia Keys,hip pop,2015,93,67,-6,285,4,49,Other,Other,Other,Other,Other,Other,-3,Other,Other,Other
Supernova,Ansel Elgort,dance pop,2018,140,62,-5,191,10,72,Other,Other,Other,Other,Other,Other,-3,Other,Other,Other
The Way,Ariana Grande,dance pop,2013,82,88,-3,227,11,68,Other,Other,Other,Other,Other,Other,-3,Other,Other,Other
Problem,Ariana Grande,dance pop,2014,103,81,-5,194,15,75,Other,Other,Other,Other,Other,Other,-3,Other,Other,Other
Love Me Harder,Ariana Grande,dance pop,2015,99,71,-4,236,3,76,Other,Other,Other,Other,Other,Other,-3,Other,Other,Other
Break Free,Ariana Grande,dance pop,2015,130,70,-5,215,5,75,Other,Other,Other,Other,Other,Other,-3,Other,Other,Other
Focus,Ariana Grande,dance pop,2015,100,88,-6,211,24,66,Other,Other,Other,Other,Other,Other,-3,Other,Other,Other
Into You,Ariana Grande,dance pop,2016,108,73,-6,244,11,80,Other,Other,Other,Other,Other,Other,-3,Other,Other,Other
Dangerous Woman,Ariana Grande,dance pop,2016,134,60,-5,236,4,78,Other,Other,Other,Other,Other,Other,-3,Other,Other,Other
Side To Side,Ariana Grande,dance pop,2017,159,74,-6,226,23,80,Other,Other,Other,Other,Other,Other,-3,Other,Other,Other
no tears left to cry,Ariana Grande,dance pop,2018,122,71,-6,206,6,84,Other,Other,Other,Other,Other,Other,-3,Other,Other,Other
What About Love,Austin Mahone,dance pop,2013,100,78,-7,203,4,54,Other,Other,Other,Other,Other,Other,-3,Other,Other,Other
Mmm Yeah (feat. Pitbull),Austin Mahone,dance pop,2014,126,92,-4,232,4,65,Other,Other,Other,Other,Other,Other,-3,Other,Other,Other
Wake Me Up,Avicii,big room,2013,124,78,-6,247,5,85,Other,Other,Other,Other,Other,Other,-3,Other,Other,Other
Hey Brother,Avicii,big room,2014,125,78,-5,255,4,78,Other,Other,Other,Other,Other,Other,-3,Other,Other,Other
Broken Arrows,Avicii,big room,2015,116,67,-7,233,5,65,Other,Other,Other,Other,Other,Other,-3,Other,Other,Other
What the Hell,Avril Lavigne,canadian pop,2011,150,93,-4,221,5,74,Other,Other,Other,Other,Other,Other,-3,Other,Other,Other
Rock N Roll,Avril Lavigne,canadian pop,2013,184,96,-3,207,13,61,Other,Other,Other,Other,Other,Other,-3,Other,Other,Other
Pompeii,Bastille,metropopolis,2014,127,72,-6,214,4,73,Other,Other,Other,Other,Other,Other,-3,Other,Other,Other
I Got You,Bebe Rexha,dance pop,2016,98,89,-5,192,5,64,Other,Other,Other,Other,Other,Other,-3,Other,Other,Other
