TITLE,ARTIST,GENRE,YEAR,BPM,ENERGY,dB,DURATION,SPEECH,POPULARITY
My First Kiss - feat. Ke$ha,3OH!3,dance pop,2010,138,89,-4,192,8,62
She Looks So Perfect,5 Seconds of Summer,boy band,2014,160,95,-4,202,13,71
Say Something,A Great Big World,neo mellow,2014,138,15,-9,229,3,61
Whataya Want from Me,Adam Lambert,australian pop,2010,186,68,-5,227,5,66
If I Had You,Adam Lambert,australian pop,2010,131,91,-4,228,11,59
Someone Like You,Adele,british soul,2011,135,33,-8,285,3,80
Rolling in the Deep,Adele,british soul,2011,105,76,-5,228,3,76
Set Fire to the Rain,Adele,british soul,2012,108,68,-4,242,3,76
Hello,Adele,british soul,2015,158,45,-6,295,3,73
All I Ask,Adele,british soul,2016,142,28,-5,272,3,71
Send My Love (To Your New Lover),Adele,british soul,2016,164,52,-8,223,10,61
When We Were Young,Adele,british soul,2016,144,59,-6,291,5,58
Million Years Ago,Adele,british soul,2016,0,0,-60,227,0,0
All I Ask,Adele,british soul,2017,142,28,-5,272,3,71
Water Under the Bridge,Adele,british soul,2017,95,84,-7,240,7,49
Tired,Alan Walker,electro house,2017,124,88,-4,192,6,70
Here,Alessia Cara,canadian contemporary r&b,2015,120,82,-4,199,10,68
Scars To Your Beautiful,Alessia Cara,canadian contemporary r&b,2016,97,74,-6,230,13,79
Here,Alessia Cara,canadian contemporary r&b,2016,120,82,-4,199,10,68
"How Far I'll Go - From ""Moana""",Alessia Cara,canadian contemporary r&b,2017,181,54,-10,176,35,71
Heroes (we could be),Alesso,big room,2015,126,75,-4,210,6,56
Empire State of Mind (Part II) Broken Down,Alicia Keys,hip pop,2010,93,37,-8,216,3,76
Try Sleeping with a Broken Heart,Alicia Keys,hip pop,2010,111,82,-5,249,11,62
Doesn't Mean Anything,Alicia Keys,hip pop,2010,104,41,-7,273,3,57
Girl On Fire (feat. Nicki Minaj) - Inferno Version,Alicia Keys,hip pop,2013,93,81,-6,271,31,59
It's On Again - Main Soundtrack,Alicia Keys,hip pop,2014,110,54,-9,230,11,30
We Are Here,Alicia Keys,hip pop,2015,93,67,-6,285,4,49
Supernova,Ansel Elgort,dance pop,2018,140,62,-5,191,10,72
The Way,Ariana Grande,dance pop,2013,82,88,-3,227,11,68
Problem,Ariana Grande,dance pop,2014,103,81,-5,194,15,75
Love Me Harder,Ariana Grande,dance pop,2015,99,71,-4,236,3,76
Break Free,Ariana Grande,dance pop,2015,130,70,-5,215,5,75
Focus,Ariana Grande,dance pop,2015,100,88,-6,211,24,66
Into You,Ariana Grande,dance pop,2016,108,73,-6,244,11,80
Dangerous Woman,Ariana Grande,dance pop,2016,134,60,-5,236,4,78
Side To Side,Ariana Grande,dance pop,2017,159,74,-6,226,23,80
no tears left to cry,Ariana Grande,dance pop,2018,122,71,-6,206,6,84
What About Love,Austin Mahone,dance pop,2013,100,78,-7,203,4,54
Mmm Yeah (feat. Pitbull),Austin Mahone,dance pop,2014,126,92,-4,232,4,65
Wake Me Up,Avicii,big room,2013,124,78,-6,247,5,85
Hey Brother,Avicii,big room,2014,125,78,-5,255,4,78
Broken Arrows,Avicii,big room,2015,116,67,-7,233,5,65
What the Hell,Avril Lavigne,canadian pop,2011,150,93,-4,221,5,74
Rock N Roll,Avril Lavigne,canadian pop,2013,184,96,-3,207,13,61
Pompeii,Bastille,metropopolis,2014,127,72,-6,214,4,73
I Got You,Bebe Rexha,dance pop,2016,98,89,-5,192,5,64
Ferrari,Bebe Rexha,dance pop,2018,77,48,-6,213,3,57
Run the World (Girls),Beyoncé,dance pop,2011,127,90,-4,236,14,76
Love On Top,Beyoncé,dance pop,2011,94,75,-5,267,9,76
Best Thing I Never Had,Beyoncé,dance pop,2011,99,65,-4,254,3,73
1+1,Beyoncé,dance pop,2011,63,38,-7,274,3,60
Partition,Beyoncé,dance pop,2014,186,44,-12,319,29,65
XO,Beyoncé,dance pop,2014,170,79,-9,216,26,56
Drunk in Love,Beyoncé,dance pop,2014,140,62,-7,323,5,52
43776,Beyoncé,dance pop,2015,136,71,-5,214,13,72
Wings,Birdy,neo mellow,2014,83,71,-5,252,3,62
Not About Angels,Birdy,neo mellow,2014,116,14,-10,190,4,56
Tee Shirt - Soundtrack Version,Birdy,neo mellow,2014,76,34,-9,160,3,49
Words as Weapons,Birdy,neo mellow,2014,120,35,-9,239,3,44
Keeping Your Head Up,Birdy,neo mellow,2016,122,78,-5,208,5,52
